college,kmedian,parmedian,public,private,ivyplus,otherelite,hselective,selective,northeast,midwest,west,pctfemale,pctmarried
Baptist Bible College,27100,67700,0,1,0,0,0,0,0,1,0,50.200802,82.67383
Baptist Bible College Of Pennsylvania,23500,67500,0,1,0,0,0,0,1,0,0,58.0531,79.829925
Bard College,30900,117900,0,1,0,0,1,0,1,0,0,56.07143,36.819476
Barnard College,56300,148000,0,1,0,1,0,0,1,0,0,99.564135,52.02992
Barry University,39200,69500,0,1,0,0,0,1,0,0,0,66.625917,42.077962
Barton College,39300,87500,0,1,0,0,0,1,0,0,0,66.486484,65.991211
Bates College,55900,176900,0,1,0,1,0,0,1,0,0,50.351286,58.164424
Bay Path College,35800,84100,0,1,0,0,0,1,1,0,0,100,57.856828
Bay State College,25300,55000,0,0,0,0,0,0,1,0,0,66.666669,29.726502
Baylor University,50300,132400,0,1,0,0,1,0,0,0,0,58.958775,69.17218
Becker College,33100,75500,0,1,0,0,0,1,1,0,0,75.313807,51.339358
Belhaven University,32200,77300,0,1,0,0,0,1,0,0,0,59.498209,66.17381
Bellarmine University,46700,98200,0,1,0,0,0,1,0,0,0,65.251571,68.461752
Bellevue College,37700,97000,1,0,0,0,0,1,0,0,1,46.969968,48.081589
Bellevue University,40000,73100,0,1,0,0,0,1,0,1,0,46.080759,64.363998
Belmont Abbey College,38100,97900,0,1,0,0,0,1,0,0,0,52.109182,59.507048
Belmont University,37900,116700,0,1,0,0,0,1,0,0,0,59.873062,65.178537
Beloit College,40600,109800,0,1,0,0,1,0,0,1,0,59.974092,47.994474
Benedictine College,43400,90200,0,1,0,0,0,1,0,1,0,52.597404,65.511101
Benedictine University,54800,104500,0,1,0,0,0,1,0,1,0,57.174885,62.427807
Bennett College,33400,50000,0,1,0,0,0,1,0,0,0,98.941797,22.881895
Bennington College,19700,99200,0,1,0,0,1,0,1,0,0,69.786096,38.929892
Bentley University,79800,119600,0,1,0,0,1,0,1,0,0,42.668799,61.70792
"Berkeley College of New York, NY",36500,42500,0,0,0,0,0,0,1,0,0,67.83154,32.951048
